type,law_document_id,detail
metadata_or_hash_conflict,f8433fd1394043503c33233ab3a030e2e27ad795603e2c261a01cd4189fa86f0,document_version_id=f868ec8c822d7e0f04ccc398b886e4b544dd6aabaf2b5efaee4c4d0bf45b01ea
metadata_or_hash_conflict,27e30e46b8e11a3663f732f1e9a73de7bb2b7e22782f00af2a1121f4dd439e4c,document_version_id=a0615f7f9cde3442389f78bd55f8ba4732f1fa0be5be653499aab7409ad2c166
metadata_or_hash_conflict,aac1cd7841c58013c6d3c319ed094a6e84c65c79e160b5e38b4e68a3ea862782,document_version_id=abb8acd8280c20fd49140be48333701dd1fe6b66255fcee98fbebf465a245d41
metadata_or_hash_conflict,56876f944e37923755cda188446cb137be3297a59b14836cce915710cec1f754,document_version_id=89898ef9505060a5ac2c4af6fdb8c4d02d272bf507ca6c62bf65e2a8eac1db43
metadata_or_hash_conflict,1657d2afc4e30701a8303ff8d8061677d18bffb2407d19c9f9f3b5c95ad3b2c5,document_version_id=9e9a1bcaf5bde0519fbec9317d79883ff521626930e68162e76a2bb74c2e0989
metadata_or_hash_conflict,15cadfda37d4efd515cd65d8b64c91cdf24290b3a356dbc57172fa27344e32c3,document_version_id=90ae53771b741bb22669504199c0ae19172dd07697eea154b0440230afe8cbcb
metadata_or_hash_conflict,b32c68f3e3e249dc3228fbfbb7953456284eebb22c30f15f2489b9e2be898811,document_version_id=a168815786baacdc93f67d463005fc5b9ec90dd1dc73a3026b38c59a65eb3e4d
metadata_or_hash_conflict,2ae474e55cea7ee507d9e9b31a83e85be51ad291fa08c03005638e075f2d7600,document_version_id=7282e72c88b2a1b8c534d71822ad6fcb13eee7944a5953d87da76c19e8534ea2
metadata_or_hash_conflict,5c9899afa9ce7e46f36a578cfee701a52d3d8a12e5fb8398eeaf195895e81156,document_version_id=a9a101ad47df4d57dca690136c2023567645a8a6a0f57bb949fd659999905da6
metadata_or_hash_conflict,f8accc8d09811d77115e2bf7f01ae77650900e7a5cbbf1377d7fe4177b84f6e8,document_version_id=287780ba965e874bc11e64c9fc0b46ffcceffeb9fa33c0f1e47d5b5a13d09bd4
metadata_or_hash_conflict,064a4b8af99f750e1110db53d867d02e5e4b1b466bc726c9a4291b7c3cc60fad,document_version_id=5729d036f60a05cc5398bbb6a2fc96bfbb1a552f408312e86a88553b74c52693
metadata_or_hash_conflict,75ab7431b20c53b6ca6f16c19d76d5a1c3f0a4603612454c948fd385546011e8,document_version_id=b9baa22c28c4c0fd15228bf99406c4e6f7bda2ac150eb8a871beb835c2b24398
metadata_or_hash_conflict,e205a37786956381e2a290c33d7bfe5754b15c79b8b65019470c2d377a6ebcab,document_version_id=65cd1f1e43b361d0539ac3ff6735c473aef35f307bf995c1df97baa0b6782cc2
metadata_or_hash_conflict,0b17fc2b6c515fc59cee261861cdea2ce206a64928a1f49d8ee82c2b887052f2,document_version_id=41e48db5c1dfa2ab7b02546641c89754a5a61809b5ae26f1778a63345e3d72ee
metadata_or_hash_conflict,0fd99eba4bfaccadc9e984ff4ec1d8b60af1e8a0a867f2c9d86206743b364281,document_version_id=b089d16056d48e12faaf0dac81f58f567d61695e40029ebc0a60c83514d60129
metadata_or_hash_conflict,10ad94492b3f907ab9e41057a1d69912a8be3e16c77fa6041d7848a6c41bb342,document_version_id=90cf7cc552aaac855aa52b4b1a1c77e32026dbc931a7fc0b1fc763829c903d92
metadata_or_hash_conflict,40f2a7697bcb71240aca5e06d2b2a10b1cc5685f5f798f7005f9c515853c32d5,document_version_id=c06ea4dd413e38c7b40de22fa59b3f4b3d2edaa9ccebf3ba15b2debbbc6f371a
metadata_or_hash_conflict,0f2d1987e0c525292c54d1aa745ef4cbf9c6b186407b187f8e35313daf79533e,document_version_id=36c25bb6cdbad83f53342c003b5965dc6fabfa55e45b364c6ecb45e72e6df3ba
metadata_or_hash_conflict,b1aa11241b5f38ec2e0e93594addf207d0cf5bebf979dbb4adfc89839c7d378e,document_version_id=e9314a469ea2f6588e5a0722034b9df456f17ecf4c589287b36ab09b87e3779d
metadata_or_hash_conflict,a6d33087153d2739c334c5f4a0f184fa9cee9dd5ec54df02e0378983fbefb45f,document_version_id=a80633ca12a0790e8583d83c9bce0384e670e10b1646bb95afeb695158bd912d
metadata_or_hash_conflict,403cc8df666bf3597c13f64b03368b612c7b8b97989f6d7e6ac6798e37fa24df,document_version_id=00a0fcb76f9899bd69a095367c3404fe767c013484e23d95b5806c6e7cb17549
metadata_or_hash_conflict,81c1bf50a13f400b938e85eaf4ea840ab1802e4370386eeb4a222d6ad190a96b,document_version_id=d094259aded4f43f0f7f34e9286401c34e2b762e100bf9e6fdda0c289bd8149b
